route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
3866_61363,7778019,X28,Salesian College - Celbridge Main St - UCD,,3,,,
3866_61364,7778019,X30,Dodsboro - UCD,,3,,,
3866_61365,7778019,X31,River Forest - Earlsfort Terrace,,3,,,
3866_61366,7778019,X32,Leixlip - Earlsfort Terrace,,3,,,
3866_61367,7778019,C1,Adamstown Stn - Sandymount,,3,,,
3866_61368,7778019,C2,Adamstown Stn - Sandymount,,3,,,
3866_61369,7778019,C3,Maynooth - Ringsend,,3,,,
3866_61370,7778019,C4,Maynooth - Ringsend,,3,,,
3866_61371,7778019,C6,Maynooth - Celbridge - Ringsend Night Service,,3,,,
3866_61372,7778019,C5,Maynooth - Ringsend Night Service,,3,,,
3866_61373,7778019,G1,Red Cow LUAS - Spencer Dock,,3,,,
3866_61374,7778019,G2,Liffey Valley SC - Spencer Dock,,3,,,
3866_61375,7778019,H1,Baldoyle - Lower Abbey Street,,3,,,
3866_61376,7778019,H2,Malahide - Lower Abbey Street,,3,,,
3866_61377,7778019,H3,Howth Summit - Lower Abbey Street,,3,,,
3866_61378,7778019,N4,Blanchardstown - Point Village,,3,,,
3866_61379,7778019,S2,Sean Moore Road - Heuston Station,,3,,,
3866_61380,7778019,15B,Merrion Square – Stocking Avenue,,3,,,
3866_61381,7778019,15D,Merrion Square - Whitechurch,,3,,,
3866_61382,7778019,15A,Merrion Square – Limekiln Avenue,,3,,,
3866_61383,7778019,27B,Eden Quay – Harristown,,3,,,
3866_61384,7778019,42D,Portmarnock - DCU,,3,,,
3866_61385,7778019,L25,Dun Laoghaire - Dundrum Town Centre,,3,,,
3866_61386,7778019,L54,River Forest - Red Cow Luas,,3,,,
3866_61387,7778019,L58,River Forest - Castletown - Hazelhatch Stn,,3,,,
3866_61388,7778019,L59,River Forest - Celbridge - Hazelhatch,,3,,,
