STATION_FROM,STATION_TO,DISTANCE
56,1,2.5039000000000002
1,57,2.3698
57,1,2.3698
1,58,2.6675
58,1,2.6675
1,59,3.4263000000000003
59,1,3.4263000000000003
1,60,3.3202
60,1,3.3202
1,61,3.2063
61,1,3.2063
1,62,2.8425
62,1,2.8425
1,63,2.3826
63,1,2.3826
1,64,2.8744
64,1,2.8744
1,65,3.6229
65,1,3.6229
1,66,3.8766
66,1,3.8766
1,67,4.1371
67,1,4.1371
1,68,3.4116999999999997
68,1,3.4116999999999997
1,69,2.9156999999999997
69,1,2.9156999999999997
1,71,1.0168
71,1,1.0168
1,72,1.382
72,1,1.382
1,73,1.4168
73,1,1.4168
1,74,1.6253
74,1,1.6253
1,75,2.056
75,1,2.056
1,76,2.2816
76,1,2.2816
1,77,2.3811999999999998
77,1,2.3811999999999998
1,78,3.4996
78,1,3.4996
1,79,3.0841999999999996
79,1,3.0841999999999996
1,80,2.634
80,1,2.634
1,82,2.7468000000000004
82,1,2.7468000000000004
1,83,3.5004
83,1,3.5004
1,84,3.4606999999999997
84,1,3.4606999999999997
1,85,3.7182
85,1,3.7182
1,86,2.7583
86,1,2.7583
1,87,2.2777
87,1,2.2777
1,88,2.6361999999999997
88,1,2.6361999999999997
1,89,1.9658
89,1,1.9658
1,90,3.6951
90,1,3.6951
1,91,3.6424000000000003
91,1,3.6424000000000003
1,92,2.6578000000000004
92,1,2.6578000000000004
1,93,3.0323
93,1,3.0323
1,94,2.9602
94,1,2.9602
1,95,2.8634
95,1,2.8634
1,96,3.2781
96,1,3.2781
1,97,3.9966
97,1,3.9966
1,98,1.8303
98,1,1.8303
1,99,3.0624000000000002
99,1,3.0624000000000002
1,100,2.5593000000000004
100,1,2.5593000000000004
1,101,1.8620999999999999
101,1,1.8620999999999999
1,102,2.8336
102,1,2.8336
1,103,3.4391
103,1,3.4391
1,104,3.4977
104,1,3.4977
1,105,4.1948
105,1,4.1948
1,106,3.8457
106,1,3.8457
1,107,3.919
107,1,3.919
1,108,3.2164
108,1,3.2164
1,109,3.3199
109,1,3.3199
1,110,2.7985
110,1,2.7985
1,111,3.7579000000000002
111,1,3.7579000000000002
1,112,3.9387
112,1,3.9387
1,113,1.8767
113,1,1.8767
1,114,2.4548
114,1,2.4548
1,115,3.5823
115,1,3.5823
1,116,2.9616
116,1,2.9616
1,117,3.7742
117,1,3.7742
2,3,0.8301000000000001
3,2,0.8301000000000001
2,4,2.0494
4,2,2.0494
2,5,4.2063999999999995
5,2,4.2063999999999995
2,6,2.3298
6,2,2.3298
2,7,1.9707999999999999
7,2,1.9707999999999999
2,8,2.4623000000000004
8,2,2.4623000000000004
2,9,3.1104000000000003
9,2,3.1104000000000003
2,10,2.4365
10,2,2.4365
2,11,4.7253
11,2,4.7253
2,12,0.31739999999999996
12,2,0.31739999999999996
2,13,4.0093000000000005
13,2,4.0093000000000005
2,14,2.9665
14,2,2.9665
2,15,1.1898
15,2,1.1898
2,16,2.3615999999999997
16,2,2.3615999999999997
2,17,2.7428000000000003
17,2,2.7428000000000003
2,18,3.5791999999999997
18,2,3.5791999999999997
2,19,4.5761
19,2,4.5761
2,20,4.0745
20,2,4.0745
2,21,4.8401000000000005
21,2,4.8401000000000005
2,22,2.9482
22,2,2.9482
2,23,2.6578000000000004
23,2,2.6578000000000004
2,24,1.8649
24,2,1.8649
2,25,3.6401
25,2,3.6401
2,26,3.4459
26,2,3.4459
2,27,4.47
27,2,4.47
2,28,1.1843
28,2,1.1843
2,29,2.1724
29,2,2.1724
2,30,1.3248
30,2,1.3248
2,31,1.0811
31,2,1.0811
2,32,2.998
32,2,2.998
2,33,3.098
33,2,3.098
2,34,4.8914
34,2,4.8914
2,35,1.6898
35,2,1.6898
2,36,3.9356999999999998
36,2,3.9356999999999998
2,37,3.4147
37,2,3.4147
2,38,2.5061999999999998
38,2,2.5061999999999998
2,39,4.586399999999999
39,2,4.586399999999999
2,40,2.5623
40,2,2.5623
2,41,4.2326999999999995
41,2,4.2326999999999995
2,42,1.433
42,2,1.433
2,43,3.8505
43,2,3.8505
2,44,0.9138
44,2,0.9138
2,45,1.7855999999999999
45,2,1.7855999999999999
2,47,4.559
47,2,4.559
2,48,2.7161
48,2,2.7161
2,49,2.7656
49,2,2.7656
2,50,1.5705
50,2,1.5705
2,51,3.0254000000000003
51,2,3.0254000000000003
2,52,3.518
52,2,3.518
2,53,3.518
53,2,3.518
2,54,4.0133
54,2,4.0133
2,55,3.9228
55,2,3.9228
2,56,4.0061
56,2,4.0061
2,57,3.8468
57,2,3.8468
2,58,3.8155
58,2,3.8155
2,59,0.8775
59,2,0.8775
2,60,0.7714
60,2,0.7714
2,61,0.6576000000000001
61,2,0.6576000000000001
2,62,2.9479
62,2,2.9479
2,63,3.2990999999999997
63,2,3.2990999999999997
2,64,2.847
64,2,2.847
2,65,2.9778000000000002
65,2,2.9778000000000002
2,66,3.2315
66,2,3.2315
2,67,3.492
67,2,3.492
2,68,3.4454000000000002
68,2,3.4454000000000002
2,69,3.5493
69,2,3.5493
2,71,3.0249
71,2,3.0249
2,72,2.1838
72,2,2.1838
2,73,2.2185
73,2,2.2185
2,74,2.1461
74,2,2.1461
2,75,2.8577
75,2,2.8577
2,76,3.0834
76,2,3.0834
2,77,1.2384000000000002
77,2,1.2384000000000002
2,78,0.9509
78,2,0.9509
2,79,0.5355
79,2,0.5355
2,80,3.4356999999999998
80,2,3.4356999999999998
2,82,3.5486
82,2,3.5486
2,83,4.3021
83,2,4.3021
2,84,4.9601999999999995
84,2,4.9601999999999995
2,85,4.6825
85,2,4.6825
2,86,3.1205
86,2,3.1205
2,87,2.1782
87,2,2.1782
2,88,1.7917
88,2,1.7917
2,89,4.19
89,2,4.19
2,90,3.6561999999999997
90,2,3.6561999999999997
2,91,4.0827
91,2,4.0827
2,92,3.02
92,2,3.02
2,93,3.3946
93,2,3.3946
2,94,3.3225
94,2,3.3225
2,95,3.4699
95,2,3.4699
2,96,4.0798000000000005
96,2,4.0798000000000005
2,97,4.3588000000000005
97,2,4.3588000000000005
2,98,4.5856
98,2,4.5856
2,99,2.728
99,2,2.728
2,100,2.9215
100,2,2.9215
2,101,1.1091
101,2,1.1091
2,102,0.2929
102,2,0.2929
2,103,2.5946
103,2,2.5946
2,104,2.6532
104,2,2.6532
2,105,1.6272
105,2,1.6272
2,106,1.278
106,2,1.278
2,107,1.3514000000000002
107,2,1.3514000000000002
2,108,1.0651
108,2,1.0651
2,109,2.1724
109,2,2.1724
2,110,0.8947
110,2,0.8947
2,111,1.2092
111,2,1.2092
2,112,1.39
112,2,1.39
2,113,3.7144
113,2,3.7144
2,114,4.7759
114,2,4.7759
2,115,1.8811
115,2,1.8811
2,116,0.5387000000000001
116,2,0.5387000000000001
2,117,3.8030999999999997
117,2,3.8030999999999997
3,4,1.2194
4,3,1.2194
3,5,3.3763
5,3,3.3763
3,6,1.4998
6,3,1.4998
3,7,1.1408
7,3,1.1408
3,8,2.8699
8,3,2.8699
3,9,2.2803
9,3,2.2803
3,10,1.6065
10,3,1.6065
3,11,3.9316999999999998
11,3,3.9316999999999998
3,12,1.1055
12,3,1.1055
3,13,3.6804
13,3,3.6804
3,14,2.1364
14,3,2.1364
3,15,1.2615
15,3,1.2615
3,16,2.7691999999999997
16,3,2.7691999999999997
3,17,1.9127
17,3,1.9127
3,18,2.7491
18,3,2.7491
3,19,4.9836
19,3,4.9836
3,20,4.4821
20,3,4.4821
3,21,4.0100999999999996
21,3,4.0100999999999996
3,22,3.3556999999999997
22,3,3.3556999999999997
3,23,2.2699000000000003
23,3,2.2699000000000003
3,24,2.2725
24,3,2.2725
3,25,4.0477
25,3,4.0477
3,26,3.8534
26,3,3.8534
3,27,3.64
27,3,3.64
3,28,1.5919
28,3,1.5919
3,29,1.3424
29,3,1.3424
3,30,0.9377000000000001
30,3,0.9377000000000001
3,31,0.4588
31,3,0.4588
3,32,3.4055
32,3,3.4055
3,33,2.1384000000000003
33,3,2.1384000000000003
3,34,4.0614
34,3,4.0614
3,35,0.8597
35,3,0.8597
3,36,3.1056999999999997
36,3,3.1056999999999997
3,37,2.5846
37,3,2.5846
3,38,2.9138
38,3,2.9138
3,39,3.8074
39,3,3.8074
3,40,1.7323
40,3,1.7323
3,41,3.4026
41,3,3.4026
3,42,0.603
42,3,0.603
3,43,3.0204
43,3,3.0204
3,44,1.3214000000000001
44,3,1.3214000000000001
3,45,2.1932
45,3,2.1932
3,47,4.966600000000001
47,3,4.966600000000001
3,48,3.1237
48,3,3.1237
3,49,3.1732
49,3,3.1732
3,50,0.7404
50,3,0.7404
3,51,2.1953
51,3,2.1953
3,52,2.6879
52,3,2.6879
3,53,2.688
53,3,2.688
3,54,3.1832
54,3,3.1832
3,55,3.0928
55,3,3.0928
3,56,4.413600000000001
56,3,4.413600000000001
3,57,4.2543999999999995
57,3,4.2543999999999995
3,58,4.223
58,3,4.223
3,59,1.2851
59,3,1.2851
3,60,1.179
60,3,1.179
3,61,1.0651
61,3,1.0651
3,62,3.3555
62,3,3.3555
3,63,3.7066
63,3,3.7066
3,64,3.2546
64,3,3.2546
3,65,3.3854
65,3,3.3854
3,66,3.639
66,3,3.639
3,67,3.8995
67,3,3.8995
3,68,3.8529
68,3,3.8529
3,69,3.9569
69,3,3.9569
3,71,2.1949
71,3,2.1949
3,72,1.3537000000000001
72,3,1.3537000000000001
3,73,1.3884
73,3,1.3884
3,74,1.3160999999999998
74,3,1.3160999999999998
3,75,2.0276
75,3,2.0276
3,76,2.2533000000000003
76,3,2.2533000000000003
3,77,0.616
77,3,0.616
3,78,1.3584
78,3,1.3584
3,79,0.943
79,3,0.943
3,80,2.6056999999999997
80,3,2.6056999999999997
3,82,2.7185
82,3,2.7185
3,83,3.4720999999999997
83,3,3.4720999999999997
3,84,4.1301000000000005
